,Review
1093,"sorry, this guy's voice gave me the creeps. he sounds like a preacher. who can meditate without the ability to respond positively to the  leading   voice
"
485,"this novel could not hold my interest.  i am an anne perry fan, but could not get into this book.  i couldn't really bond with any of the characters and the plot was uninteresting.   i'm really disappointed, because i was looking forward to a new series by her.  joseph and matthew lost their parents to murder and joseph lost two close friends to murder, yet there didn't seem to be much emotion.  maybe ms. perry tried to tell too many stories within one story.  in reviewing the book, it's hard to pin point exactly why i didn't like this book. i would skip this series and read the pitt series.  
"
390,"the photo presented here is a bit too bright and the faces are not that orange in this paperback edition's cover. however you can get a feel for the checked floor and how after opening the pages of the doorbell rang you get an eye sore with the blue checkered tablecloth in the kitchen with the blue stove and red appliances. the mother and daughter are both redheads and there is a black cat that hangs around during the story that takes place in the kitchen. 

with just twenty pages my seven-year old breezed through the book in six minutes. the favorite character in the book according to my son is the cat and watching where he was throughout the story. the doorbell rang begins with a mother placing a plate of cookies on the kitchen table for her son sam and daughter victoria. "" i've made some cookies for tea, said ma"". the children each took six cookies comparing the look and smell of these cookies to grandma's.

by flipping through the pages of the doorbell rang it looks like the kitchen table got bigger, but upon further inspection the same number of chairs are there, but more kids around the table and fighting over the seats. the cat is making his way around the kids to receive pats on the head and attention. more kids arrived bringing a bicycle and a doll carriage and the table shows each kid with one cookie. it is hard to tell if the cookies are on white plates or that is just part of the checkered tablecloth. the serving plate is clearly empty at this point and all the kids turn to see the latest bell ringer. meanwhile over at the stove the steam is continuing but at a larger pace and it looks like fresh water now in the orange pail. 

the final arrival for this story is grandma, with a large cookie sheet type tray carrying freshly baked chocolate chip cookies. all the kids leave the table to greet her and the cat ends up alone on the kitchen table. not very sanitary as far as i am concerned and my son noticed no napkins or drinks at the table. the dirty floor was bothering him as well and he wondered why the kids never took their shoes off for that is something we all do upon entering our home. 

 the portrayal of the mother and how the stove was not being attended and having the cat on the table bothered me. the kids not stopping to wipe their feet or hanging up their own belongings and no one washing their hands before having a cookie and who knows how many times the kids each touched one of them. 

at least the kids were dressed nice and the bucket of water never spilled and the mother finally sat down. for a new reader this might be a fun read but for more than one read i highly doubt there would be interest. there is a lot of repetition with the arrival of new kids and then the sharing of the cookies while comparing them to each child's grandma's cookies. there are roughly two to four sentences on each page. the good news is that my son did not ask for any cookies after reading this
"
60,"the problem with this book is that it does not explain the mathematics well.  the author connects the unsolvable equation with group theory but does not provide any way for the reader to understand exactly what it is that is wrong with the equation.  why could the equation not be solved?  there is a reason for this fact, and the mathematical theory explains it well--but not this book.  perhaps a mathematician will write a book explaining why the 5th degree equation cannot be solved in general.  the reason is the subject of galois theory taught in high-level mathematics courses but explainable in a popular book; but apparently not in this one
"
435,"the author gave many thorough and enlightening illustrations on how communication breaks down &amp; what to look out for. after reading &amp; self-examination, one could identify the areas for  improvement &amp; learn  from the methods prescribed. the first part identifies the types of  relationships within the family. the second on developing god-honouring  relationships, dwelling mainly on the subject of communication. i was very  much enlightened by the types of circuit jammers within the family. part  three expounds on sustaining godly family relationships. it explains why  families fight &amp; how to turn discord to concord. i am very much  encouraged &amp; edified from the reading of this book
"
376,"this book provides a good and clear overview of the subject of mysql. this is a thick book that covers a lot of material. the last chapters even provided introductions to application development with c, perl and php. mysql: the complete reference really seemed like an actual complete reference. while it may not go to deep into every subject it does at least briefly cover each topic. most of the focus was on sql (structured query language) though.

there were only a few minor issues with this book aside from minor grammatical errors. for one thing, you would occasionally have to modify the sample tables before you could even start the exercise. also, it would have been nice having more sample tables and data so i could follow along in more of the examples. frequently, my result set wouldn't quite match the one in the book. additionally, some of the command wouldn't even execute or would return an error message. lastly, the chapters on development were pretty useless unless you are already familiar with one of the languages.

but, i believe many of the above problems where because of version differences and the fact that i was running mysql on windows. although windows instructions were given as well the book examples were still more oriented towards a unix installation. also, mysql would be several versions newer on my computer. i believe that made a difference on some of the results as well. and for windows administration its better just to use one of the suggested gui programs since many of the commands were difficult to run from the command prompt.

so, i wasn't quite able to follow along with all the examples for one reason or another. nevertheless, there were still plenty of quality examples i could follow along in. in addition, there was still a lot to learn from just reading through the material. overall, this book works well as a reference or for working the chapters in order. even though the book's user level isn't indicated i believe it provides a fine introduction for a beginner.
"
348,"when i was 21 and in my first year of graduate school, paul fussell's &quot;poetic meter and poetic form&quot; was one of the first text books assigned to me. when i bought the book and saw how slim it was, i snickered, &quot;grad school's gonna be a walk in the park!&quot; 
 
 yeah, right! 
 
 this densely packed tome is not for the uninitiated and definitely not absorbed in just one reading. on and off, over the last 20 years, i have come back to this book to refresh my memory and, usually, to astonish myself. the book's real strength, besides professor fussell's obvious command of his subject, and his ability to convey that command, is in the sprinkling of dozens of anecdotes by and about poets about other poets and poetry. even at this late date in my life, i can't pretend to understand the entire book but what i do understand i admire and respect. &quot;poetic meter and poetic form&quot; is not recommended to anyone studying poetry; it is urgently required
"
302,"this book serves the purpose of listing all available moves for the preset roster and shows all available storylines in the game.  that's about it.  no instruction on create a wrestler, or for that matter, create anything.  in fact, the previous two items i listed (moves and storylines) are pretty much the only content in this book.  i don't know; maybe i'm spoiled by prima and the good job they do writing for pc games.  they just could have included a lot more content, that's all.  you could have found any old faq in 30 seconds of search-engine poking
"
33,"the premise put forth in the title is supported by some keen insights into ""leadership by calling"" and comparisons to it with ""modern leadership theory.""  les csorba writes about the danger of pursuing results without compassion; a point with which i agree. unfortunately, some of the examples he chooses are questionable...  

after warning about the danger of weak character in powerful leaders, csorba chastises german chancellor schroeder for turning back on some promises to george w bush regarding the war on terrorism and then goes on to deride him for his four wives.  meanwhile he praises jack welch for going from neutron jack to a gentler jack (which jack says he would abandon if needed)while still making the ""tough"" decisions that got the ""results"" for the shareholders.  jack can change is mind and go back to compassionless results... ok.  also, there is no mention that jack was getting results with his personal secretary whilst the wife was at home...  

unfortunately the theme in csorba's examples becomes one of bashing the mistakes of democrats and forgiving the sins of the republicans.  he does sprinkle in some condemnation for a few wrong-minded republicans in a meek attempt at balance.  it's a shame that he turned this into a politcally tainted work.  it started off so well.  

it started off well even though it will turn off readers who are not people of faith as faith is central precept to this book.  it also started off well even though he chose to make george w bush the role model for how to be a trust-able leader.  unfortunately this conservative/political bent turned an even harder right from there and kept going.  it kept going to the point that i could no longer plan on sharing this book with some folks i know who really need it. they would simply say its a bush-ie/right-winger book and dismiss the valuable and otherwise soundly argued premise.  too bad.  csorba almost had a classic instead of a politically tainted leadership manual.

i say this even though i am republican, am one of the few folks who would admit they were voting for bush before the election, am a person of faith, and tend to find the dems an easy target.  but this book was supposed to be about so much more than republican politics.  too bad
"
1808,"good basic book, bringing back points i had been taught, and a few new to me.  price most reasonable. 
"
