id,title,author,description,genres,coverUrl
0bJkAAAAMAAJ,Dystopian Fiction East and West,Erika Gottlieb,"""Erika Gottlieb explores a selection of about thirty works in the dystopian genre from East and Central Europe between 1920 and 1991 in the USSR and between 1948 and 1989 in Poland, Hungary, and Czechoslovakia.",History,https://books.google.com/books/content?id=0bJkAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
WMDajfrpOHoC,Illinois Libraries,,Includes proceedings of the Illinois Library Association.,Libraries,https://books.google.com/books/content?id=WMDajfrpOHoC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
EB6kSA4Cmc0C,The Parliamentary Debates (official Report).,Great Britain. Parliament. House of Lords,Contains the 4th session of the 28th Parliament through the session of the Parliament.,Great Britain,https://books.google.com/books/content?id=EB6kSA4Cmc0C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
fbalcSRJLS8C,Collected Short Fiction,Roger F. Kennedy,The Collected Short Fiction of Roger F. Kennedy now appears in a two book set Volumes 1 and 2 Volume 1 comprises 27 newly edited stories from The Windup Man and Lauri with an i. Volume 2 includes 24 newly edited stories from The Three of us and Mirror Image. Kennedys ironic imagination and wit shine through with fast-moving plot lines and dead-on dialogue in the time-honored tradition of pulp fiction.,Fiction,https://books.google.com/books/content?id=fbalcSRJLS8C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
TuDQrUPsp7wC,The Federal Reporter,,"Includes cases argued and determined in the District Courts of the United States and, Mar./May 1880-Oct./Nov. 1912, the Circuit Courts of the United States; Sept./Dec. 1891-Sept./Nov. 1924, the Circuit Courts of Appeals of the United States; Aug./Oct. 1911-Jan./Feb. 1914, the Commerce Court of the United States; Sept./Oct. 1919-Sept./Nov. 1924, the Court of Appeals of the District of Columbia.","Law reports, digests, etc",https://books.google.com/books/content?id=TuDQrUPsp7wC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
y5yl0QEACAAJ,Innocents Aboard,Gene Wolfe,"Gene Wolfe may be the single best writer in fantasy and SF of his generation. From The Book of the Long Sun to The Book of the New Sun series, to his impressive short fiction oeuvre. Innocents Aboard gathers fantasy and horror stories from the last decade that have never before been in a Wolfe collection. Highlights from the twenty-two stories include ""The Tree is my Hat,"" adventure and horror in the South Seas, ""The Night Chough,"" a Long Sun story, ""The Walking Sticks,"" a darkly humorous tale of a supernatural inheritance, and ""Houston, 1943,"" lurid adventures in a dream that has no end. This is fantastic fiction at its best.",Fiction,
906Dr3r8uXIC,News Notes of California Libraries,California State Library,Vols. for 1971- include annual reports and statistical summaries.,Libraries,https://books.google.com/books/content?id=906Dr3r8uXIC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
N1seAAAAMAAJ,Caroline Gordon,William Joseph Stuckey,Presents the life and works of Southern novelist and short story writer Caroline Gordon. Includes a chronology.,Kentucky,https://books.google.com/books/content?id=N1seAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
J5KgAAAAMAAJ,The Pedagogical Seminary,,"Vols. 5-15 include ""Bibliography of child study,"" by Louis N. Wilson.",Child development,https://books.google.com/books/content?id=J5KgAAAAMAAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
1MruqrWx5igC,New Serial Titles,,"A union list of serials commencing publication after Dec. 31, 1949.",Periodicals,https://books.google.com/books/content?id=1MruqrWx5igC&printsec=frontcover&img=1&zoom=1&source=gbs_api
cj0lhuzFSloC,Modern Classics of Fantasy,Gardner R. Dozois,A huge collection featuring the best of fantasy fiction from the 1940s to the present day.,Fiction,https://books.google.com/books/content?id=cj0lhuzFSloC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
